Delay,ShortHaul,MediumHaul,LongHaul,CostType
120,7,0,0,care
180,10,10,0,care
240,13,13,13,care
300,18,18,18,care
600,45,45,45,care
120,0,0,0,reimbursement_rebooking
180,0,0,0,reimbursement_rebooking
240,0,0,0,reimbursement_rebooking
300,205,265,900,reimbursement_rebooking
600,205,265,900,reimbursement_rebooking
120,0,0,0,compensation
180,250,400,300,compensation
240,250,400,600,compensation
300,250,400,600,compensation
600,250,400,600,compensation
120,0,0,0,accommodation
180,0,0,0,accommodation
240,0,0,0,accommodation
300,0,0,0,accommodation
600,106,106,106,accommodation
